ProteinID,BP,CC,MF
Q9UBE0,0.624474438,0.577386613,0.384056178
P55286,0.538841271,0.464229171,0.495810384
Q9UKN1,0.488525854,0.507137982,
Q9ULB4,0.584084135,0.469290513,0.54545145
Q9Y625,0.513919984,0.470055245,0.388917759
Q9Y2U2,0.550006493,0.609203104,0.82803253
Q9Y6N8,0.599437107,0.430356345,0.495810384
P55287,0.53881835,0.490214933,0.495810384
P00813,0.415784725,0.514905742,0.461988169
O95267,0.521743032,0.624048206,0.492288833
P55290,0.477011461,0.472147849,0.42062625
Q99996,0.467348398,0.458786486,0.463498522
Q9UJS0,0.489449668,0.52983112,0.520470088
Q16602,0.507703971,0.498606249,0.470851118
Q00535,0.457821962,0.513524595,0.402802137
P78383,0.65322065,0.492739406,0.689819967
Q9NQX3,0.421814565,0.559619529,0.392438374
O14874,0.724208983,0.546804123,0.568896197
Q8IZY2,0.438284327,0.487696405,0.532780553
Q8WWZ4,0.739847408,0.73006424,0.514589168
Q9HCB6,0.525743151,0.633591526,0.484089523
Q9UQB8,0.511077173,0.516256883,0.442118481
O60506,0.533838512,0.495702833,0.644772075
O75838,0.524667099,0.386166809,0.529772803
O75398,0.540842728,0.546614582,0.637327556
P50991,0.444815156,0.477028964,0.598087884
Q9Y6A1,0.496236929,0.551519399,0.569392512
O00471,0.51569528,0.501372151,0.46658472
P49711,0.525761566,0.579068919,0.557244695
Q16650,0.444587788,,0.592078302
Q7Z5J4,0.565353638,0.692685786,0.606406301
Q9UGL1,0.449350017,0.641310993,0.480613367
Q15326,0.534049045,0.614473801,0.48804579
Q9Y2A7,0.514198311,0.431432746,0.545438512
Q08828,0.452744807,0.521193497,0.465907354
Q6PUV4,0.521667865,0.448115191,0.54607171
P01215,0.622807293,0.421249879,0.592642139
Q6ZRS2,0.615881976,0.57862165,0.494125112
Q14296,0.537686164,,0.524676738
Q6P1M0,0.475189825,0.599668214,0.424367471
O60266,0.463957479,0.625059971,0.466143528
Q86UE8,0.515469165,0.536786779,0.573264997
O14646,0.567939159,0.645967703,0.513911563
Q8WZA2,0.575321455,0.606240669,0.614104795
O14647,0.54416741,0.772660939,0.574659401
Q12873,0.570234839,0.614949905,0.570882476
O14522,0.529424549,0.626103921,0.387275769
Q9NZN1,0.504976633,0.531226624,0.461300205
O95622,0.479964261,0.541120696,0.415866399
Q9UN76,0.55668809,0.692664284,0.652349407
P78424,0.532070295,,0.700352732
Q96RE7,0.585033818,0.674021681,
P20309,0.522887141,0.531820833,0.53588862
Q9Y279,0.578189218,0.690841221,
Q15208,0.656003831,0.743608447,0.475740936
O60645,0.683014668,0.470073363,0.541662472
P08912,0.497157252,0.542910651,0.61583878
P43681,0.498055976,0.532243639,0.50942862
P36544,0.492432221,0.530800267,0.419533369
P17787,0.459281279,0.504215411,0.480783736
Q05901,0.52797083,0.51056461,0.523894807
Q96P20,0.474434834,0.577948843,0.558707275
Q8IVM8,0.63262136,0.662698865,0.675270318
Q96RT8,0.608891866,0.610251021,0.777665442
Q96PY5,0.612161939,,0.45448302
Q8IUC8,0.833726359,0.571042125,0.412134467
Q9BZF3,0.406170766,0.641520241,0.56548383
Q8IVI9,0.543898732,0.527716967,0.734722458
Q96DA2,0.535431941,0.533148095,0.451662078
Q99490,0.521435774,0.66493418,0.535264563
Q9UPQ3,0.564614901,0.743319935,0.51051901
Q8TEW8,0.519546301,0.517296354,0.563830901
Q8NGK5,0.56756666,0.678895618,0.877447546
Q8IWU9,0.489772639,0.589187066,0.279011115
Q8WVC0,0.486008752,0.550634566,0.415343384
Q7RTP0,0.792297225,0.565914699,
Q9HBR0,0.526829496,0.571319268,
P21554,0.450486855,0.483103604,0.391404872
P34972,0.476531266,0.516071025,
Q8NGZ9,0.56756666,0.678895618,0.877447546
Q86VI3,0.543831606,0.451961967,0.35132034
Q9H1R2,0.560279712,0.699428803,0.695262739
A4UGR9,0.53945024,0.379128623,0.68999844
P12107,0.464237507,0.527110161,0.421902027
P21964,0.455195268,0.590515142,0.541256904
P55263,0.711404543,0.723189325,0.514167636
Q8WVJ2,0.594111839,0.491448928,0.578229348
Q5T5C0,0.548168539,0.451120609,0.460891869
P48052,0.583316658,0.494414638,0.568805113
P29274,0.477080521,0.533473289,0.455785263
P23786,0.448856635,0.629011363,
Q96NR3,0.424050006,0.678895618,
A1Z1Q3,0.488807489,0.617390759,0.562356634
P0DMS8,0.557112444,0.609203104,
Q96MT3,0.477126088,0.622163247,0.642115852
P49674,0.507185181,0.723856091,0.613901717
Q96NI6,0.434141646,0.450896773,
Q8NHR7,0.811565512,0.507294592,
P35368,0.550514394,0.593155949,0.501368836
P52952,0.453418654,0.629927282,0.553097877
Q8NBF1,0.857773174,,0.596330346
Q6K0P9,0.489036735,0.525385413,
P35222,0.435370181,0.430469879,0.471726713
Q9UQB3,0.556643784,0.545314986,0.534704458
P07339,0.574070197,0.466984877,0.43799743
P08913,0.51756078,0.568308849,0.37613558
O95045,0.834435249,0.40031102,0.360137379
Q9H0F5,0.49267296,0.555294016,0.504679975
Q8IWV2,0.498041129,0.485645458,
P39880,0.540128969,0.674264123,0.614075547
P49238,0.47492074,0.517983883,0.533263833
Q8WU76,0.661285173,,
Q14093,0.609771565,0.395503849,
P04798,0.455763467,0.602962966,0.429992863
Q16678,0.473761914,0.620577851,0.452587673
Q86UQ4,0.734199398,0.632164439,0.514589168
P07550,0.463426859,0.557245931,0.377396831
P10635,0.524384688,0.655374067,0.552711985
P22680,0.500815127,0.675143254,0.305492919
P05108,0.663408367,0.661683725,0.389083914
Q8WUY3,0.441464402,,0.357552035
P15538,0.574871134,0.569911564,0.395725814
P05093,0.660373287,0.537218639,0.295053701
Q8NHV9,0.59803205,,0.662189274
P11511,0.468246302,0.661839396,0.462968728
P08686,0.770647239,0.696904323,0.383859287
P30566,0.531881937,,0.823600424
Q16613,0.526554603,0.668556366,0.39979765
P14920,0.579755214,0.585590713,0.488632287
Q8WXU2,0.468470215,0.589495525,0.522494034
Q8TE49,0.660195189,0.743608447,0.460327807
P09172,0.472595054,0.548262559,0.432295462
P12821,0.44184756,0.564054512,0.461640376
O43602,0.525849038,0.54456864,0.58964807
P20711,0.44662945,0.609996041,0.43510575
O00571,0.506670885,0.50425058,0.431073123
Q8N568,0.476297849,0.564491532,0.465091555
Q96QS3,0.4595633,,0.512593638
Q8WXA8,0.569391826,0.539352548,0.565294446
Q9UBM7,0.514227174,0.588415443,0.392780246
P00374,0.479575783,0.720168423,0.426796333
Q12959,0.444951527,0.448232652,0.393379192
Q15700,0.438450886,0.490951551,0.382184153
