,ProteinID,Average Shortest Path to all Disease genes,Local Clustering Coefficient,DegreeCentrality,ClosenessCentrality,BetweennessCentrality,EigenvectorCentrality,PageRank,HarmonicCentrality,Modularity
0,O15409,2.63614237906906,0.16666666666666666,0.0030573248407643307,0.26205856384505544,0.0,1.870206399970889e-06,0.00021979228688261961,1554.753174603309,-0.00011038818817453584
1,P00748,2.4682080924855487,0.0,0.0035668789808917197,0.27790156900926744,1.4556344226968642e-06,0.0006164936352682139,5.1668949924240824e-05,2202.2265873015467,0.0007720325748348688
2,P09622,3.0389412838454515,0.4,0.00025477707006369424,0.1593163386233335,0.001338244540478845,0.0002550103619873331,6.372261778774552e-05,1503.9202741704096,-0.0002521684392975371
3,Q9UGJ0,2.551262549437177,1.5,0.0003821656050955413,0.18984963835949256,0.0,2.049862988128589e-05,6.02160612497405e-05,2080.9198773448466,-0.0007091905833841193
4,Q9Y6Q6,2.3948889564952847,1.3333333333333333,0.00025477707006369424,0.2276314214532708,6.964622989254799e-06,5.86193584090837e-48,3.4410430512831463e-05,1663.099639249747,0.0004884142070350462
5,Q02962,2.836020687557043,0.0,0.0006369426751592356,0.2413072422431423,0.0,0.00017764718605989954,0.00037153022343383883,1642.798448773559,0.0004569257014968831
6,P48436,2.369333738971706,0.16666666666666666,0.001019108280254777,0.25123798874508185,7.934800929004387e-05,0.00028784928868536323,7.986864042585798e-05,1893.3043650793954,0.0004884142070350347
7,P25942,2.2515972010952234,0.3516483516483517,0.0019108280254777066,0.25905680043443113,0.0,5.4832923699783945e-05,3.086113391601813e-05,2080.075793650766,0.0014666892599506812
8,Q92736,2.573167021600244,0.3333333333333333,0.00012738853503184712,0.1507087941343445,0.0,0.0005334366283655988,0.0001339730434428272,1968.5873015873017,0.0006302137466760032
9,Q9H3D4,2.0860967447520538,0.2222222222222222,0.00025477707006369424,0.19477485223324886,4.539063240816265e-05,8.425696764716373e-06,0.0001271613173270104,1778.2750360751074,0.0009004555272839312
10,Q13286,2.372376026772133,0.0,0.00012738853503184712,0.2157640638386108,3.445921389475243e-05,1.2524247028267795e-05,4.726261974318208e-05,1746.6329725830572,0.00044318263246415383
11,P02649,2.39671432917554,0.09523809523809523,0.0006369426751592356,0.2351768925169935,0.0,0.0008983780595195113,0.00011288530898920139,2105.015079365045,6.313131921986708e-05
12,P19438,2.0602372984484334,0.1390374331550802,0.0008917197452229297,0.2423015855851694,8.41287063041988e-05,0.0004961885510129555,3.64979194643166e-05,1134.6482073481488,0.002830223525954641
