,ProteinID,FrequencyA,FrequencyB,FrequencyC,FrequencyD,FrequencyE,FrequencyF,FrequencyG,FrequencyH,FrequencyI,FrequencyJ,FrequencyK,FrequencyL,FrequencyM,FrequencyN,FrequencyO,FrequencyP,FrequencyQ,FrequencyR,FrequencyS,FrequencyT,FrequencyU,FrequencyV,FrequencyW,FrequencyX,FrequencyY,FrequencyZ,Aromaticity,SSfraction,Target,BP,CC,MF,Eigenvector Centrality,Modularity,PageRank
0,Q9Y5X4,0.1073170731707317,0,0.03414634146341464,0.03902439024390244,0.06341463414634146,0.03902439024390244,0.05853658536585366,0.024390243902439025,0.02682926829268293,0,0.04146341463414634,0.1073170731707317,0.03170731707317073,0.024390243902439025,0,0.07804878048780488,0.043902439024390234,0.06829268292682927,0.1,0.04634146341463415,0,0.04634146341463415,0.00975609756097561,0,0.00975609756097561,0,0.05853658536585365,"(0.23902439024390243, 0.26097560975609757, 0.3097560975609756)",0,0.529080295,0.60818739,0.454923963,5.207455656070681e-06,0.001548916710772808,8.354557755999138e-05
1,Q9UQQ2,0.09739130434782607,0,0.022608695652173917,0.04173913043478261,0.07130434782608695,0.03826086956521739,0.06782608695652173,0.03826086956521739,0.017391304347826087,0,0.020869565217391303,0.10260869565217393,0.012173913043478259,0.015652173913043483,0,0.11130434782608696,0.043478260869565216,0.08695652173913042,0.10434782608695653,0.031304347826086966,0,0.043478260869565216,0.015652173913043483,0,0.017391304347826087,0,0.07130434782608695,"(0.23478260869565215, 0.2991304347826087, 0.2834782608695652)",0,0.583588557,0.699428803,0.47235189,1.2683044272852796e-05,-0.00017522122026168157,5.853660448340133e-05
2,Q16625,0.06321839080459771,0,0.013409961685823757,0.05938697318007662,0.06321839080459771,0.036398467432950186,0.07471264367816093,0.01532567049808429,0.05938697318007662,0,0.05555555555555555,0.06130268199233716,0.02873563218390805,0.02681992337164751,0,0.06321839080459771,0.036398467432950186,0.05363984674329502,0.09195402298850576,0.0421455938697318,0,0.06130268199233716,0.00957854406130268,0,0.0842911877394636,0,0.13026819923371644,"(0.31226053639846746, 0.2567049808429119, 0.2164750957854406)",0,0.514310767,0.514277698,0.684617578,0.004343461094641419,0.0006728106094643942,0.00010862348048171204
3,Q9Y6N9,0.05253623188405797,0,0.007246376811594203,0.06159420289855073,0.10869565217391304,0.028985507246376805,0.08333333333333333,0.019927536231884056,0.06340579710144928,0,0.07246376811594203,0.09601449275362317,0.019927536231884056,0.02355072463768116,0,0.043478260869565216,0.04891304347826087,0.06702898550724637,0.06159420289855073,0.02717391304347826,0,0.08152173913043477,0.009057971014492754,0,0.02355072463768116,0,0.06159420289855073,"(0.302536231884058, 0.21195652173913043, 0.2771739130434782)",0,0.43758506700000005,0.444237535,0.5969553000000001,0.00044490897553765233,-0.0003504424405233632,4.641740820369336e-05
4,Q96CV9,0.06759098786828423,0,0.012131715771230504,0.043327556325823226,0.15771230502599656,0.01733102253032929,0.03639514731369151,0.02599653379549393,0.029462738301559793,0,0.09532062391681108,0.11785095320623915,0.029462738301559793,0.03466204506065858,0,0.02599653379549393,0.06932409012131716,0.05199306759098787,0.07972270363951472,0.0537261698440208,0,0.03986135181975736,0.0034662045060658573,0,0.008665511265164644,0,0.029462738301559793,"(0.21663778162911612, 0.17677642980935876, 0.37261698440207974)",0,0.47445987100000003,0.5845648689999999,0.50847093,4.555402527935581e-05,-0.002831613795769248,6.256438938658407e-05
5,Q9NS56,0.04784688995215311,0,0.01722488038277512,0.06794258373205743,0.06889952153110047,0.03157894736842105,0.0430622009569378,0.030622009569377988,0.02870813397129187,0,0.06411483253588518,0.056459330143540674,0.010526315789473684,0.04593301435406698,0,0.05358851674641149,0.03349282296650718,0.11291866028708132,0.14641148325358852,0.054545454545454536,0,0.049760765550239235,0.004784688995215311,0,0.03157894736842105,0,0.06794258373205743,"(0.2028708133971292, 0.2889952153110048, 0.1837320574162679)",0,0.504389022,0.492926377,0.49817247200000003,1.240719146906359e-07,0.000819957558143734,0.00031619958324969407
6,P49918,0.20253164556962025,0,0.00949367088607595,0.04113924050632911,0.0569620253164557,0.0189873417721519,0.05379746835443038,0.006329113924050633,0.00949367088607595,0,0.0189873417721519,0.0759493670886076,0.00949367088607595,0.012658227848101266,0,0.17405063291139242,0.04430379746835443,0.06645569620253164,0.07911392405063293,0.02848101265822785,0,0.07911392405063293,0.006329113924050633,0,0.006329113924050633,0,0.03164556962025317,"(0.19620253164556964, 0.319620253164557, 0.3449367088607595)",0,0.507511444,0.743319935,0.530724622,0.00011510053173218916,0.0003223681689410288,3.4526165085724755e-05
7,P42771,0.1858974358974359,0,0.00641025641025641,0.07051282051282051,0.07051282051282051,0.00641025641025641,0.08974358974358974,0.03205128205128205,0.019230769230769232,0,0.0,0.10897435897435898,0.03205128205128205,0.02564102564102564,0,0.07051282051282051,0.00641025641025641,0.10897435897435898,0.04487179487179487,0.03205128205128205,0,0.0641025641025641,0.01282051282051282,0,0.01282051282051282,0,0.03205128205128205,"(0.22435897435897434, 0.23076923076923078, 0.3974358974358974)",0,0.500371717,0.5682766539999999,0.458683853,7.004751171693917e-05,0.0027822408433722445,0.0005389266900468899
8,Q92597,0.07106598984771574,0,0.02030456852791878,0.04822335025380711,0.06091370558375635,0.02538071065989848,0.08629441624365483,0.03807106598984772,0.03807106598984772,0,0.03299492385786802,0.08121827411167512,0.05076142131979696,0.043147208121827416,0,0.05583756345177665,0.045685279187817264,0.04060913705583756,0.08629441624365483,0.07106598984771574,0,0.07106598984771574,0.007614213197969543,0,0.02538071065989848,0,0.0583756345177665,"(0.24873096446700507, 0.2715736040609137, 0.2639593908629442)",0,0.522579424,0.525363834,0.52438453,3.222586021692128e-07,0.0008480318297260747,3.1959297936530085e-05
9,O00165,0.021505376344086027,0,0.0,0.1003584229390681,0.08602150537634409,0.08602150537634409,0.1003584229390681,0.03225806451612903,0.025089605734767026,0,0.017921146953405017,0.057347670250896064,0.017921146953405017,0.014336917562724013,0,0.11469534050179213,0.03225806451612903,0.0931899641577061,0.0967741935483871,0.04301075268817205,0,0.035842293906810034,0.017921146953405017,0,0.007168458781362006,0,0.11111111111111112,"(0.22939068100358423, 0.3261648745519713, 0.1827956989247312)",0,0.557387848,0.479879175,0.459027401,1.9535122504226696e-06,-0.0008761061013084107,3.410392443535268e-05
